,id,Brown Dwarf,Constellation,Right Ascension,Declination,Apparent Magnitude,Distance,Spectral Type,Mass,Radius,Date Discovered,name,dist,mass,rad,lum
85,85,2MASS J08251968+2115521 [de],Cancer,8h 25m 19.68s,21° 15′ 52.1″,,35.0,L7.5,5.343675999999999,0.00093549624,2000.0,Melnick 42,"0163,000",189,21.1,"3,600,000"
86,86,SDSSp J083008.12+482847.4 [de],Lynx,8h 30m 8.25s,48° 28′ 48.2″,,43.0,L8,4.932624,0.0009450421200000001,2002.0,WR 102,"018,134",19,0.39,"282,000"
87,87,LHS 2021,,8h 30m 32.56s,9° 47′ 15.4″,,55.0,M6.5,9.043144,0.0010977762,,VFTS 352,"0164,000",57.48,14.47,"330,000"
88,88,SDSS J083048.80+012831.1 [de],Hydra,8h 30m 48.78s,1° 28′ 31.1″,,77.0,T4.5,4.727098,0.00091640448,2004.0,YBP 1194,"02,772",1.01,0.99,0.98
89,89,2MASSI J0835425-081923 [de],Hydra,8h 35m 42.56s,−8° 19′ 23.7″,,23.53,L5,6.371306,0.000954588,2003.0,Gliese 1214,047.5,0.16,0.21,0.0033
90,90,2MASSI J0847287-153237 [de],Hydra,8h 47m 28.72s,−15° 32′ 37.2″,,43.0,L2,6.576832,0.000954588,2003.0,Luhman 16,06.50,0.03 + 0.03,?,?
91,91,2MASS J08533619-0329321,,8h 53m 36.19s,−3° 29′ 32.1″,,27.6,M9,7.912750999999999,0.00102140916,,NML Cygni,"05,251",50,"1,640 - 2,770","229,000"
92,92,2MASSI J0859254-194926 [de],Pyxis,8h 59m 25.47s,−19° 49′ 26.8″,,50.0,L6,5.1381499999999996,0.00093549624,2003.0,VB 10,018.72,0.075,0.10,0.0004
93,93,2MASSW J0920122+351742 [de],Lynx,9h 20m 12.23s,35° 17′ 42.9″,,95.0,L6.5,,,2000.0,WOH G64,"0163,000",<20,"1,540 - 1,730","340-589,000"
94,94,2MASSI J0937347+293142,Leo,9h 37m 34.87s,29° 31′ 40.9″,,20.0,T6p,4.316046,0.00089731272,2002.0,TRAPPIST-1,039.6,0.089,0.12,0.0005
95,95,2MASS 0939−2448,Antlia,9h 39m 35.48s,−24° 48′ 27.9″,16.83,17.4,T8,3.288416,0.0009068586,2005.0,2MASS J0523-1403,040.3,0.07,0.086,0.00013
96,96,2MASS J09490860-1545485 [de],Hydra,9h 49m 8.6s,−15° 45′ 48.5″,,59.0,T2,5.035387,0.00091640448,2005.0,WISE 0855−0714,07.27,0.003,?,?
97,97,2MASS J10073369-4555147,,10h 7m 33.69s,−45° 55′ 14.7″,,46.0,T5,4.521572,0.00089731272,,Icarus,"014,400,000,000",33,?,"850,000"
